t,x,y,penDown
19.7606,7.0980,0.4000,1
20.1631,6.7020,0.4720,1
20.1631,6.7020,0.4720,0
20.2406,6.7695,0.5100,0
20.3180,6.8370,0.5480,0
20.3955,6.9045,0.5860,0
20.4730,6.9720,0.6240,0
20.5504,7.0395,0.6620,0
20.6279,7.1070,0.7000,0
20.7053,7.1745,0.7380,0
20.7828,7.2420,0.7760,0
20.8603,7.3095,0.8140,0
20.9377,7.3770,0.8520,0
21.0152,7.4445,0.8900,0
21.0926,7.5120,0.9280,0
21.0926,7.5120,0.9280,1
21.4951,7.9080,1.0000,1
21.6890,7.9800,0.8200,1
21.9154,7.7880,0.7000,1
22.1418,7.9800,0.5800,1
22.3357,7.9080,0.4000,1
22.7382,7.5120,0.4720,1
22.7382,7.5120,0.4720,0
22.8242,7.5910,0.5060,0
22.9102,7.6700,0.5400,0
22.9962,7.7490,0.5740,0
23.0822,7.8280,0.6080,0
23.1682,7.9070,0.6420,0
23.2542,7.9860,0.6760,0
23.3402,8.0650,0.7100,0
23.4262,8.1440,0.7440,0
23.5122,8.2230,0.7780,0
23.5983,8.3020,0.8120,0
23.6843,8.3810,0.8460,0
23.7703,8.4600,0.8800,0
23.7703,8.4600,0.8800,1
23.9203,8.5500,1.0000,1
24.5203,8.5500,0.4000,1
24.5203,8.5500,0.4000,0
24.5303,8.5400,0.4000,0
24.5403,8.5300,0.4000,0
24.5503,8.5200,0.4000,0
24.5603,8.5100,0.4000,0
24.5703,8.5000,0.4000,0
24.5803,8.4900,0.4000,0
24.5903,8.4800,0.4000,0
24.6003,8.4700,0.4000,0
24.6103,8.4600,0.4000,0
24.6203,8.4500,0.4000,0
24.6303,8.4400,0.4000,0
24.6403,8.4300,0.4000,0
24.6403,8.4300,0.4000,1
24.8923,8.6820,0.4000,1
